number,value,datetime_start,datetime_complete,duration,params_color_p,params_disk_size,params_length_max,params_length_min,params_min_threshold,params_no_object_threshold,params_pp_circle,params_pp_square,params_radius_max,params_radius_min,state
0,0.8129139072847682,2026-04-20 14:59:29.778132,2026-04-20 15:02:16.823737,0 days 00:02:47.045605,0.7420966565339651,5,106.35424273862255,91.29389168006617,119.42309841605356,856.6814121479259,0.8396255734638721,0.7118842299267372,47.08265009219836,34.386220444513654,COMPLETE
1,0.9147350993377483,2026-04-20 14:59:29.786324,2026-04-20 15:01:24.517808,0 days 00:01:54.731484,0.6437953403520583,2,104.78995593327393,90.37313318236687,94.58593422101357,198.7519867278236,0.8733232698491051,0.6716779376894219,45.02948584503786,31.156275058011392,COMPLETE
2,0.890728476821192,2026-04-20 14:59:29.788766,2026-04-20 15:01:23.882863,0 days 00:01:54.094097,0.5714956412449731,1,105.29994872120459,88.9090558718901,75.66456691358721,253.65316356302063,0.864976571860256,0.6072619354572445,44.18351505364403,36.871429978925455,COMPLETE
3,0.8915562913907285,2026-04-20 14:59:29.797385,2026-04-20 15:02:29.239604,0 days 00:02:59.442219,0.6622015971936857,5,104.60223931326854,90.24027691244179,80.74104573639647,258.4273927375644,0.845273960751584,0.5686999452778483,49.48563480155256,34.323972717472756,COMPLETE
4,0.5869205298013245,2026-04-20 14:59:29.798399,2026-04-20 15:01:39.131087,0 days 00:02:09.332688,0.7156158280406337,3,109.63072103004185,94.92963552323745,85.64840155287536,505.4966830174205,0.8770715978651107,0.7129068938221489,40.50734127782834,36.84709746942106,COMPLETE
5,0.6266556291390728,2026-04-20 14:59:29.802459,2026-04-20 15:02:52.507786,0 days 00:03:22.705327,0.7616173157264184,5,108.85446560060393,97.67168779578077,56.21776987472984,305.951912049131,0.8533010485066582,0.5851951066962231,50.52686335604987,33.3707008765284,COMPLETE
6,0.847682119205298,2026-04-20 14:59:29.808509,2026-04-20 15:02:18.550005,0 days 00:02:48.741496,0.7365974882089266,5,107.80982120706453,89.89939431457398,116.2855198214945,633.6118799233848,0.7702572352283656,0.6920059481675951,47.31929372162437,35.53210765714226,COMPLETE
7,0.5091059602649006,2026-04-20 14:59:29.810546,2026-04-20 15:02:13.847593,0 days 00:02:44.037047,0.5545923696126115,3,103.48986427418667,86.28372663528425,53.80726497543103,501.1670394389725,0.84534672879278,0.6389774759507592,38.826707182439996,35.81002264154678,COMPLETE
8,0.7524834437086093,2026-04-20 14:59:29.821999,2026-04-20 15:01:29.926654,0 days 00:02:00.104655,0.6513429270915312,1,111.98638240770156,96.1954735460302,51.136822068481884,592.3303165398581,0.8054094441370875,0.6776502848044115,54.46031739597881,32.04473244121665,COMPLETE
9,0.8286423841059603,2026-04-20 14:59:29.823737,2026-04-20 15:03:01.125649,0 days 00:03:31.301912,0.7255003815256713,6,110.19432398778571,95.42097531107368,84.85668390818392,218.34040924945714,0.8752061733448144,0.6135552629567829,42.24331758322545,36.628418786093945,COMPLETE
10,0.7831125827814569,2026-04-20 14:59:29.830501,2026-04-20 15:03:28.247809,0 days 00:03:58.417308,0.7033107766652356,6,100.1899230635446,91.25410496390123,71.59168424340183,936.81839466695,0.7542405735827163,0.5676306698991426,45.32178732676896,35.19479818023986,COMPLETE
11,0.7144039735099338,2026-04-20 14:59:29.838253,2026-04-20 15:01:27.071599,0 days 00:01:57.233346,0.6831559765311285,1,107.48903616001034,89.80259666204698,53.92560107083432,693.4934996355299,0.7996582280118406,0.7327680230832332,54.82249642812616,36.812117583968366,COMPLETE
12,0.4602649006622517,2026-04-20 14:59:29.854482,2026-04-20 15:02:36.352174,0 days 00:03:06.497692,0.7013355062190341,6,103.79400124247843,96.26786543384021,94.38995125831941,960.0277705125164,0.8714067231370826,0.5565001889325835,39.73460217250654,32.08981080354363,COMPLETE
13,0.6192052980132451,2026-04-20 14:59:29.858040,2026-04-20 15:02:53.795282,0 days 00:03:23.937242,0.8279710901163619,6,101.96809775425379,98.89193553610932,67.7041693673424,991.2022911659983,0.8257393195642319,0.5734470231154037,47.57980521812482,36.985639542045305,COMPLETE
14,0.46771523178807944,2026-04-20 14:59:29.867341,2026-04-20 15:01:26.069738,0 days 00:01:56.202397,0.6036740772689274,2,104.40999011274437,94.68248355197296,77.05039330560253,474.6455844161852,0.7696215628625495,0.5948027882828951,40.54198583731032,41.02725794452039,COMPLETE
15,0.6399006622516556,2026-04-20 14:59:29.870911,2026-04-20 15:01:37.209296,0 days 00:02:07.338385,0.5611596495318962,3,108.92790459339169,97.90676178113783,60.091461314713044,570.4570895003233,0.8088482183702772,0.6975774743933287,44.145883711561964,32.85703859891278,COMPLETE
