number,value,datetime_start,datetime_complete,duration,params_color_p,params_disk_size,params_length_max,params_length_min,params_min_threshold,params_no_object_threshold,params_pp_circle,params_pp_square,params_radius_max,params_radius_min,state
0,0.5416666666666666,2026-04-17 14:36:23.971577,2026-04-17 14:37:49.450213,0 days 00:01:25.478636,0.5574807976869243,1,110.39497870927468,89.01818511811342,119.08931990871575,691.1016503102414,0.8203961098954455,0.6741168553928465,39.430506037841724,33.12633315939397,COMPLETE
1,0.8574561403508771,2026-04-17 14:36:23.977523,2026-04-17 14:39:06.272128,0 days 00:02:42.294605,0.5608420311629849,5,103.35627035734544,86.83343950997562,55.36611096395138,474.5909924324301,0.8172531585561421,0.5672323967858706,50.19819238954278,35.662173753305495,COMPLETE
2,0.777046783625731,2026-04-17 14:36:23.980027,2026-04-17 14:39:08.272517,0 days 00:02:44.292490,0.8178017454189991,6,110.81075075245592,95.77550784276002,91.97877311450026,280.67582408040886,0.778029995401374,0.6909085096976222,53.75056259659861,33.44667981389803,COMPLETE
3,0.7872807017543859,2026-04-17 14:36:23.982502,2026-04-17 14:38:58.567711,0 days 00:02:34.585209,0.60765803292266,4,114.96765696346083,89.51079877567585,56.420010353531076,273.32028601093396,0.7629071665169488,0.5977185891256941,51.61852822880315,31.039614337218442,COMPLETE
4,0.8706140350877193,2026-04-17 14:36:23.984635,2026-04-17 14:38:50.663394,0 days 00:02:26.678759,0.5732471114220722,5,105.5679863459775,95.21888595105267,85.92149434690211,963.9345301412704,0.8389537222094913,0.6544379635303292,49.09310109470732,33.45643481996591,COMPLETE
5,0.8472222222222222,2026-04-17 14:36:23.986698,2026-04-17 14:38:14.082197,0 days 00:01:50.095499,0.7148797691130937,2,109.57852785617895,95.01784112972555,74.69414362394762,850.9078009928728,0.8318285358532723,0.6278358745609206,54.05398784916079,30.084133248030287,COMPLETE
6,0.44371345029239767,2026-04-17 14:36:23.989411,2026-04-17 14:38:22.172308,0 days 00:01:58.182897,0.6737154714207587,3,111.89607089863517,92.17782073343484,75.3326096380064,838.2035839201618,0.7548800501061389,0.6914397217241234,40.41301717661796,40.93346679186646,COMPLETE
7,0.6754385964912281,2026-04-17 14:36:23.995540,2026-04-17 14:38:31.231096,0 days 00:02:07.235556,0.5678968646316556,2,100.01469440145884,86.6286935357018,58.806526740113604,505.19805658036216,0.8612156843476227,0.5574675733541402,45.36223124229924,40.70836309734576,COMPLETE
8,0.8589181286549707,2026-04-17 14:36:23.997439,2026-04-17 14:38:55.167810,0 days 00:02:31.170371,0.821566362897612,6,113.02165486869174,90.21337711996509,116.00208404642869,346.3782716675791,0.8300097299773662,0.707307829385454,49.28897510570437,32.90939635767208,COMPLETE
9,0.6820175438596491,2026-04-17 14:36:24.002725,2026-04-17 14:38:04.648400,0 days 00:01:40.645675,0.8396393093782835,1,107.0687831739917,97.06058544921335,86.40361297175426,940.5385054563379,0.7615566715614137,0.6153024776022383,52.84361331143981,32.03679279338025,COMPLETE
10,0.797514619883041,2026-04-17 14:36:24.016339,2026-04-17 14:37:56.488224,0 days 00:01:32.471885,0.6330071943221597,2,102.53866517944559,89.60980428368593,110.05550163224811,764.3948683326624,0.8066567226513249,0.7257919763780496,48.54848467968834,34.290882212858335,COMPLETE
11,0.8874269005847953,2026-04-17 14:36:24.025475,2026-04-17 14:37:49.670646,0 days 00:01:25.645171,0.6717732324264384,1,108.48811368992436,91.2894013778938,112.86080906473084,608.3594420550883,0.8026269982974648,0.6209438083087899,52.86098093824258,31.2057860442341,COMPLETE
12,0.5095029239766082,2026-04-17 14:36:24.029954,2026-04-17 14:38:23.729556,0 days 00:01:59.699602,0.6529256933224594,2,100.35828855041895,97.64557965965727,58.27028251804913,705.853975488835,0.8637403810141296,0.5995913140784038,41.02154752899223,30.34981010491426,COMPLETE
13,0.9159356725146199,2026-04-17 14:36:24.034433,2026-04-17 14:39:08.040314,0 days 00:02:44.005881,0.6195303329141455,6,100.8251165651101,88.38203540620094,89.17501935144452,971.7917975317545,0.815880777360113,0.5622591906924419,53.417552132642136,36.64317053499069,COMPLETE
14,0.6074561403508771,2026-04-17 14:36:24.039655,2026-04-17 14:38:50.708060,0 days 00:02:26.668405,0.5535789842563059,4,103.41281228111632,90.33200651323729,52.96518782347658,908.6680565131381,0.802537540851611,0.5995696750176067,52.44000032989995,41.123548094040586,COMPLETE
15,0.30116959064327486,2026-04-17 14:36:24.044653,2026-04-17 14:39:09.141761,0 days 00:02:45.097108,0.8146713076939522,6,111.56121783573953,98.13536155866458,78.95966498136653,455.4100993564412,0.7984628031857679,0.6581993592119545,54.0039781989677,41.96057910452005,COMPLETE
16,0.3961988304093567,2026-04-17 14:37:49.458168,2026-04-17 14:39:22.918081,0 days 00:01:33.459913,0.757314943082856,2,112.60735058814645,97.26538039153952,105.66812236637323,606.2147656393723,0.8473866314706492,0.6188406149582989,50.29073295905384,41.348755794748925,COMPLETE
17,0.8472222222222222,2026-04-17 14:37:49.677276,2026-04-17 14:39:31.235958,0 days 00:01:41.558682,0.7660526034018911,2,104.61312433872055,91.50004561181723,79.27305828205506,164.35410753647187,0.7795098337727902,0.702976802822757,48.3178119565887,39.14977377320069,COMPLETE
18,0.5862573099415205,2026-04-17 14:37:56.502292,2026-04-17 14:40:38.787418,0 days 00:02:42.285126,0.6690392026302003,5,110.13383111884852,97.06959122996473,108.66308229825009,427.45498699227096,0.7714934418941695,0.6408803224091231,41.15102422435832,37.9936112592864,COMPLETE
19,0.7068713450292398,2026-04-17 14:38:04.648400,2026-04-17 14:40:35.599838,0 days 00:02:30.951438,0.7209125219912069,3,114.80322334095298,87.58937102119627,64.649406577134,45.74257233621243,0.7545354700924971,0.7198551697440906,47.274275372256724,36.042584925121815,COMPLETE
20,0.8179824561403509,2026-04-17 14:38:14.090205,2026-04-17 14:40:20.749023,0 days 00:02:06.658818,0.5798630342062329,2,100.55544450211737,89.99068722812963,78.2934848752541,930.2373360153523,0.7631849621337704,0.572737291527493,51.23354350674464,32.857648361393515,COMPLETE
21,0.5182748538011696,2026-04-17 14:38:22.179231,2026-04-17 14:41:22.922566,0 days 00:03:00.743335,0.7956571867340244,5,110.16407743325172,89.94015437257467,84.66579098247662,138.31600710760847,0.8266186560846063,0.7037749010847252,38.83624310047098,40.769893504897986,COMPLETE
22,0.7777777777777778,2026-04-17 14:38:23.759828,2026-04-17 14:41:09.997468,0 days 00:02:46.237640,0.6602633908316228,4,109.23009238782785,92.40597402396301,58.197035390198465,170.54649376266866,0.7572713096305037,0.6159857407534451,53.287245464536355,37.28876129329327,COMPLETE
23,0.60453216374269,2026-04-17 14:38:31.238311,2026-04-17 14:41:39.018086,0 days 00:03:07.779775,0.740266151560941,5,102.76032406452036,96.53897278685028,54.09767770049782,334.36121152706005,0.826120594626566,0.6937460972054579,43.11002424258998,40.40604255591015,COMPLETE
24,0.8654970760233918,2026-04-17 14:38:50.711886,2026-04-17 14:42:07.493748,0 days 00:03:16.781862,0.7664466053459276,6,114.4104890151222,92.78596637517406,101.36807750854297,49.07292170012829,0.7814435009583163,0.555140902047879,44.80087552446656,37.383179482213265,COMPLETE
25,0.8757309941520468,2026-04-17 14:38:50.738405,2026-04-17 14:41:55.801193,0 days 00:03:05.062788,0.7500352268085108,6,113.4957003790656,85.56507137209492,101.7253724043719,31.351138020370342,0.7823629961040113,0.5514454977250396,44.758051674797194,36.97292991466568,COMPLETE
26,0.8472222222222222,2026-04-17 14:38:55.185825,2026-04-17 14:42:12.707149,0 days 00:03:17.521324,0.7531142556068385,6,106.46063948992546,94.51629162871949,98.4559455803395,55.00979679894698,0.7810537918043724,0.6563317382946152,50.03649387442873,36.43806283090671,COMPLETE
27,0.8728070175438597,2026-04-17 14:38:58.590793,2026-04-17 14:42:14.731947,0 days 00:03:16.141154,0.7639430068781383,6,106.43224279873931,93.85111285014081,101.03427999997365,539.7000675750343,0.7931495729638816,0.6653631695322482,45.441918672463764,35.92651278076213,COMPLETE
28,0.868421052631579,2026-04-17 14:39:06.298162,2026-04-17 14:42:17.107099,0 days 00:03:10.808937,0.7342058180231271,6,106.87066991964608,94.05032243126345,96.24827381797974,49.34489561675355,0.7865253849338366,0.6532448370931621,45.75659875635368,37.77569058735688,COMPLETE
29,0.8918128654970761,2026-04-17 14:39:08.064513,2026-04-17 14:42:16.741183,0 days 00:03:08.676670,0.7312369763811393,6,108.23481402468435,85.13597672442529,100.97981994195928,62.876408312002184,0.7892657046406997,0.5727790591977866,54.9713643166801,37.88124283771498,COMPLETE
30,0.8852339181286549,2026-04-17 14:39:08.277791,2026-04-17 14:41:05.493191,0 days 00:01:57.215400,0.7333179621437387,3,107.80295389581836,92.65800284477287,101.97838169887194,585.0132020693659,0.7863826024743943,0.5698529073167937,45.3914393152169,38.151723495641214,COMPLETE
