epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.98628,1.28588,4.66607,1.03743,0,0,0,0,1.08786,4.21957,0.95266,8.181e-05,8.181e-05,8.181e-05
2,7.6604,1.1671,3.44473,0.97811,0.00031,0.02381,0.01894,0.00899,1.00896,3.97406,0.90378,0.000171,0.000171,0.000171
3,10.3909,1.19406,2.37543,1.00585,0.00662,0.35548,0.18793,0.13533,1.03519,3.78539,0.91107,0.000258391,0.000258391,0.000258391
4,13.0858,1.12238,1.93159,0.96024,0.00831,0.58628,0.35307,0.25305,1.12729,3.58759,0.91499,0.000343981,0.000343981,0.000343981
5,16.6738,1.11091,1.61774,0.9472,0.01101,0.79846,0.52374,0.38048,1.10508,3.35056,0.92206,0.000427772,0.000427772,0.000427772
6,19.7566,1.13649,1.39589,0.97232,0.01523,0.88095,0.74892,0.54786,1.07519,3.16127,0.93635,0.000509763,0.000509763,0.000509763
7,22.5141,1.13409,1.28413,0.98036,0.01517,0.96825,0.94571,0.65257,1.16248,2.85262,0.98464,0.000589954,0.000589954,0.000589954
8,25.139,1.13251,1.17735,0.96671,1,0.06686,0.95997,0.69338,1.09056,2.65161,0.96612,0.000668345,0.000668345,0.000668345
9,27.9146,1.10279,1.13352,0.97266,1,0.26626,0.98914,0.69778,1.12742,2.10723,0.9785,0.000744936,0.000744936,0.000744936
10,31.3937,1.10976,1.12117,0.95651,0.99146,0.76096,0.99148,0.71792,1.06485,1.76687,0.95549,0.000819728,0.000819728,0.000819728
11,34.2511,1.05205,1.00302,0.95148,0.96668,0.93386,0.98619,0.70136,1.0991,1.5011,0.97667,0.000819009,0.000819009,0.000819009
12,36.8576,1.03853,1.02672,0.95525,0.95631,0.96438,0.98265,0.68875,1.12498,1.22976,0.9835,0.00081001,0.00081001,0.00081001
