epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.66053,1.12731,5.79426,1.1289,0.00222,0.21053,0.00154,0.00089,1.01973,3.68126,0.98529,2e-05,2e-05,2e-05
2,2.49003,1.21961,4.50329,1.09689,0.00244,0.23158,0.00168,0.0009,1.01404,3.68153,0.98296,5.9406e-05,5.9406e-05,5.9406e-05
3,3.30608,1.38314,4.60471,1.21685,0.00344,0.32632,0.00253,0.00134,1.02347,3.6607,0.97866,9.802e-05,9.802e-05,9.802e-05
4,4.12535,1.12364,4.01267,1.02393,0.00456,0.43158,0.00399,0.00225,1.02201,3.63344,0.96741,0.000135842,0.000135842,0.000135842
5,4.95741,1.04128,3.23658,0.9909,0.00933,0.88421,0.01643,0.0103,1.05063,3.4798,0.95574,0.000172872,0.000172872,0.000172872
6,6.20591,1.16547,2.22394,0.98493,0.01033,0.97895,0.03912,0.01917,1.03539,3.3045,0.91322,0.00020911,0.00020911,0.00020911
7,7.47685,1.1154,1.93156,1.05046,0.01044,0.98947,0.04144,0.01925,1.03612,3.25522,0.90217,0.000244556,0.000244556,0.000244556
8,8.56471,1.03197,1.84448,0.99233,0.01056,1,0.0291,0.01829,1.10437,3.25733,0.92179,0.00027921,0.00027921,0.00027921
9,9.37219,1.01472,1.94103,0.92294,0.01056,1,0.03192,0.0197,1.12893,3.26458,0.92811,0.000313072,0.000313072,0.000313072
10,10.325,1.01922,1.72328,0.93307,0.01056,1,0.04579,0.0212,1.11012,3.24782,0.92151,0.000346142,0.000346142,0.000346142
11,11.1957,0.76873,2.18092,0.91491,0.01056,1,0.03122,0.02023,1.09396,3.22537,0.91823,0.00037842,0.00037842,0.00037842
12,11.9808,0.9343,1.63395,0.93466,0.01056,1,0.03133,0.02059,1.08863,3.21412,0.91819,0.000409906,0.000409906,0.000409906
13,12.7774,1.05667,1.72389,1.04319,0.01056,1,0.03027,0.01971,1.0846,3.21379,0.9194,0.0004406,0.0004406,0.0004406
14,13.5529,0.9387,1.2706,0.93032,0.01056,1,0.03008,0.01953,1.08781,3.20647,0.92187,0.000470502,0.000470502,0.000470502
15,14.3513,0.93533,1.58679,0.99017,0.01056,1,0.03027,0.01938,1.1284,3.23659,0.94072,0.000499612,0.000499612,0.000499612
16,15.106,0.86809,1.52796,0.93935,0.01044,0.98947,0.02946,0.01832,1.14891,3.25725,0.95034,0.00052793,0.00052793,0.00052793
17,15.8652,0.95311,1.63863,0.99345,0.01022,0.96842,0.02772,0.01712,1.16614,3.29137,0.96202,0.000555456,0.000555456,0.000555456
18,16.659,1.09133,1.80729,1.04708,0.01011,0.95789,0.02824,0.01701,1.18035,3.32269,0.98101,0.00058219,0.00058219,0.00058219
19,17.5345,0.91003,1.63234,0.93407,0.01011,0.95789,0.02875,0.01684,1.21578,3.30839,1.01061,0.000608132,0.000608132,0.000608132
20,18.3725,0.8032,1.46523,0.90063,0.01,0.94737,0.02681,0.0155,1.21348,3.32988,1.01604,0.000633282,0.000633282,0.000633282
21,19.5387,0.79808,1.3279,0.90063,0.00933,0.88421,0.02228,0.01276,1.21044,3.34335,1.03103,0.00065764,0.00065764,0.00065764
22,20.8367,0.93361,1.29492,0.94053,0.009,0.85263,0.01972,0.01159,1.19821,3.36098,1.0232,0.000681206,0.000681206,0.000681206
23,21.7793,0.92048,1.36806,0.94337,0.00933,0.88421,0.01998,0.01184,1.19973,3.33729,1.01123,0.00070398,0.00070398,0.00070398
