Complexity,Loss,Equation
1,0.020781243,"0.3275004"
3,0.002927584,"x1 * 0.0015982204"
5,0.00020125281,"(x1 * 0.0012214227) + 0.098388724"
7,0.00020111253,"((x1 + 0.09827457) * 1.0012214) - x1"
9,2.8833481e-5,"(((x1 * -1.0953979e-6) + 0.00166411) * x1) - -0.06900252"
11,2.1429858e-5,"(((x1 + -736.1846) * 0.85793585) / (x1 - -872.3226)) - -0.7874637"
13,2.1427772e-5,"(((x1 + -736.1846) * 0.86010605) / ((x1 - -872.1878) + 2.0949385)) - -0.787736"
15,1.6169923e-5,"(((x1 * ((x1 * 0.0008052451) + -0.5578045)) + x1) / (x1 - -195.93701)) + 0.052314587"
17,1.6124706e-5,"((((x1 * x1) * 0.000785355) + (x1 - (x1 * 0.5316207))) / (x1 - -211.58229)) + 0.053235855"
19,1.6122429e-5,"((((x1 * (x1 * 0.0007795062)) + (x1 + -0.81358755)) - (x1 * 0.52748585)) / (x1 - -216.33813)) + 0.057269264"
21,1.5987822e-5,"((((((x1 + x1) * x1) + -0.08977576) * 1.3460888e-7) - (x1 * -0.00047616503)) + 0.52671736) + (-132.25467 / (x1 - -279.8733))"
23,1.541736e-5,"(((((x1 * 0.0008461214) * x1) + x1) - ((x1 + (-3.6059198 / (x1 + -178.05917))) * 0.6093494)) / (x1 - -165.76138)) + 0.050395485"
27,1.5362979e-5,"((x1 + (((x1 * 0.00077761593) * x1) - ((x1 * 0.5290517) + (-1.4228458 / (x1 + (x1 * (x1 * -0.018401032))))))) / (x1 - -210.29427)) + 0.052100413"
29,1.5197503e-5,"0.052100413 + (((x1 + ((x1 * 0.00077761593) * x1)) - ((x1 * 0.5290517) + (-1.4228458 / ((x1 - 0.25520122) + (x1 * (-0.018401032 * x1)))))) / (x1 - -210.29427))"
