Complexity,Loss,Equation
1,0.020807592,"0.32516813"
3,0.011076239,"42.040462 / x1"
5,0.00020876424,"0.5974968 - (x1 * 0.0012236963)"
7,0.00020865629,"x1 - ((x1 + -0.5967634) * 1.0012237)"
9,2.4969431e-5,"0.64444643 - (x1 * (0.0017557096 - (x1 * 1.1290276e-6)))"
13,1.0233667e-5,"(x1 + (((38.044724 / (x1 + 124.092)) - x1) * 1.0008605)) + 0.3923815"
15,9.639784e-6,"(54.608547 / (x1 + 156.43875)) + ((x1 - ((x1 + -0.1719065) * 2.0008008)) + x1)"
17,9.637976e-6,"((48.196842 / (x1 + 141.82329)) + ((x1 + x1) + x1)) - ((x1 + -0.11959578) * 3.000815)"
19,8.815997e-6,"-0.7043611 - ((-1.620081 - (x1 * (-0.0009462831 + (0.44482723 / (18.13485 - x1))))) + (-19.9445 / (x1 - -0.47377357)))"
21,8.7608105e-6,"-0.7141619 - ((-1.6102802 - ((x1 * -0.00094290794) + (x1 * (0.4272032 / (18.1337 - x1))))) + (-19.945307 / (x1 - -1.574573)))"
27,8.760809e-6,"-0.71735895 - ((-1.6070838 - ((x1 * -0.0009429416) + (((x1 - ((x1 + -0.27790388) - x1)) * 0.42079893) / (18.133312 - x1)))) + (-19.945559 / (x1 - -1.5744396)))"
29,8.759627e-6,"-0.7212104 - ((-1.6032326 - ((x1 * -0.0009428473) + (((0.32314476 - (x1 + (-0.2776455 - x1))) + x1) * (0.41314638 / (18.132858 - x1))))) + (-19.945875 / (x1 - -1.6034635)))"
