Complexity,Loss,Equation
1,0.020781243,"0.32749262"
3,0.018757153,"34.538483 / x1"
5,0.00017071076,"(x1 * -0.0011640921) + 0.5823105"
7,0.00017061477,"(0.5822964 - (x1 * 1.0011641)) + x1"
9,2.5623183e-5,"(x1 * ((x1 * 9.2536857e-7) + -0.0015947099)) + 0.6181552"
11,2.5614083e-5,"(x1 * (((-0.0015914465 / x1) + 9.1839075e-7) * x1)) + 0.6178841"
13,2.5573061e-5,"(((x1 * ((0.9984055 / x1) + 9.253121e-7)) * x1) + 0.6181227) - x1"
15,1.6069103e-5,"x1 * ((((-0.0013792057 - (-0.5818666 / (x1 + -2.36929))) / x1) + 5.87336e-7) * x1)"
17,1.6058153e-5,"(x1 * (((5.901251e-7 - ((-0.6307068 / (x1 + -2.1786418)) / x1)) * x1) + -0.0013808388)) + -0.048602212"
19,1.594388e-5,"(((((-0.0018189993 - (-0.77159894 / x1)) / x1) + 7.716614e-7) * (x1 + 2.5655532)) * (x1 / 0.44275123)) * 0.33525765"
21,1.5943171e-5,"(((-0.0018192299 - (-0.77157545 / x1)) / x1) + 7.7190316e-7) * ((x1 * (0.335218 * ((x1 - -2.5320573) / 0.44247285))) - 0.55089766)"
25,1.5867246e-5,"(((-0.0018101756 - (-0.77130055 / (x1 - 0.23289822))) / (x1 + (3.8494256 / x1))) + 7.5181964e-7) * ((x1 * ((x1 - -2.5320528) / 0.44323498)) * 0.33458585)"
27,1.58632e-5,"0.33458585 * (((x1 - -2.5320528) / 0.44323498) * (x1 * (((-0.0018109271 - (-0.77130055 / (x1 - 0.23289822))) / (x1 + (3.8494256 / (-1.0512335 + x1)))) + 7.5414835e-7)))"
