Complexity,Loss,Equation
1,0.021173814,"0.33340606"
3,0.003909939,"x1 * 0.0017733466"
5,0.0002842188,"(x1 * 0.0013140708) + 0.11063587"
7,0.00028406942,"(x1 * -0.9986856) + (x1 - -0.11057287)"
9,1.5703272e-5,"(((x1 * -1.5215395e-6) + 0.0018650172) * x1) - -0.07937143"
11,1.5680842e-5,"(x1 + 0.079350345) - (((x1 * 1.522159e-6) + 0.99813473) * x1)"
13,8.758097e-6,"(((x1 * -1.2882543e-6) + 0.0017503292) - (-0.09294856 / (x1 + 2.8739831))) * x1"
15,4.3678183e-6,"(x1 * (((x1 + ((x1 * x1) * -0.0009931576)) * -3.3642912e-6) + 0.0021303573)) - -0.07190247"
17,4.3499203e-6,"(x1 * ((((x1 * (-0.0010005559 * (x1 + 1.0550396))) + x1) * -3.4209324e-6) + 0.0021403623)) - -0.07143825"
19,4.3495183e-6,"(x1 * (((x1 + (((x1 + (x1 / x1)) * -0.0010005559) * x1)) * -3.4209324e-6) + 0.0021403623)) - -0.07143825"
21,4.3493123e-6,"(x1 * ((((((x1 + (x1 / x1)) * -0.0010005559) * (x1 + -0.07393758)) + x1) * -3.4209324e-6) + 0.0021403623)) - -0.07143825"
23,4.3493014e-6,"(x1 * (((x1 + (((((x1 / x1) + (x1 + -0.07393758)) * x1) + 1.8119004) * -0.0010005559)) * -3.4209504e-6) + 0.0021403623)) - -0.07143825"
