Augmentation_Factor,LDA_Dimensions,Threshold_Multiplier,Accuracy
1,2,1.75,0.37566137566137564
1,2,2.0,0.4021164021164021
1,2,2.25,0.43386243386243384
1,2,2.5,0.47619047619047616
1,2,2.75,0.48148148148148145
1,2,3.0,0.5185185185185185
1,2,3.25,0.5608465608465608
1,2,3.5,0.5555555555555556
1,3,1.75,0.2857142857142857
1,3,2.0,0.2962962962962963
1,3,2.25,0.30158730158730157
1,3,2.5,0.32275132275132273
1,3,2.75,0.3386243386243386
1,3,3.0,0.36507936507936506
1,3,3.25,0.37566137566137564
1,3,3.5,0.38095238095238093
1,4,1.75,0.21164021164021163
1,4,2.0,0.2328042328042328
1,4,2.25,0.24867724867724866
1,4,2.5,0.24867724867724866
1,4,2.75,0.26455026455026454
1,4,3.0,0.2857142857142857
1,4,3.25,0.30687830687830686
1,4,3.5,0.328042328042328
1,5,1.75,0.20634920634920634
1,5,2.0,0.21164021164021163
1,5,2.25,0.21164021164021163
1,5,2.5,0.21164021164021163
1,5,2.75,0.2275132275132275
1,5,3.0,0.2328042328042328
1,5,3.25,0.25396825396825395
1,5,3.5,0.2751322751322751
3,2,1.75,0.8095238095238095
3,2,2.0,0.8253968253968254
3,2,2.25,0.8412698412698413
3,2,2.5,0.8571428571428571
3,2,2.75,0.8571428571428571
3,2,3.0,0.8624338624338624
3,2,3.25,0.8624338624338624
3,2,3.5,0.8624338624338624
3,3,1.75,0.8518518518518519
3,3,2.0,0.8624338624338624
3,3,2.25,0.873015873015873
3,3,2.5,0.9047619047619048
3,3,2.75,0.9047619047619048
3,3,3.0,0.9206349206349206
3,3,3.25,0.9153439153439153
3,3,3.5,0.9206349206349206
3,4,1.75,0.7936507936507936
3,4,2.0,0.8359788359788359
3,4,2.25,0.8465608465608465
3,4,2.5,0.8624338624338624
3,4,2.75,0.8677248677248677
3,4,3.0,0.8783068783068783
3,4,3.25,0.8941798941798942
3,4,3.5,0.9047619047619048
3,5,1.75,0.746031746031746
3,5,2.0,0.7936507936507936
3,5,2.25,0.8148148148148148
3,5,2.5,0.8306878306878307
3,5,2.75,0.8571428571428571
3,5,3.0,0.8571428571428571
3,5,3.25,0.8783068783068783
3,5,3.5,0.8835978835978836
5,2,1.75,0.9153439153439153
5,2,2.0,0.9312169312169312
5,2,2.25,0.9365079365079365
5,2,2.5,0.9312169312169312
5,2,2.75,0.9259259259259259
5,2,3.0,0.9312169312169312
5,2,3.25,0.9259259259259259
5,2,3.5,0.9206349206349206
5,3,1.75,0.8994708994708994
5,3,2.0,0.9259259259259259
5,3,2.25,0.9470899470899471
5,3,2.5,0.9470899470899471
5,3,2.75,0.9629629629629629
5,3,3.0,0.9576719576719577
5,3,3.25,0.9523809523809523
5,3,3.5,0.9470899470899471
5,4,1.75,0.8624338624338624
5,4,2.0,0.8835978835978836
5,4,2.25,0.8994708994708994
5,4,2.5,0.9206349206349206
5,4,2.75,0.9259259259259259
5,4,3.0,0.9312169312169312
5,4,3.25,0.9312169312169312
5,4,3.5,0.9312169312169312
5,5,1.75,0.8201058201058201
5,5,2.0,0.8412698412698413
5,5,2.25,0.873015873015873
5,5,2.5,0.9047619047619048
5,5,2.75,0.9206349206349206
5,5,3.0,0.9259259259259259
5,5,3.25,0.9365079365079365
5,5,3.5,0.9312169312169312
7,2,1.75,0.9047619047619048
7,2,2.0,0.9047619047619048
7,2,2.25,0.8994708994708994
7,2,2.5,0.8941798941798942
7,2,2.75,0.8941798941798942
7,2,3.0,0.8994708994708994
7,2,3.25,0.8941798941798942
7,2,3.5,0.8835978835978836
7,3,1.75,0.8994708994708994
7,3,2.0,0.9259259259259259
7,3,2.25,0.9206349206349206
7,3,2.5,0.9259259259259259
7,3,2.75,0.9312169312169312
7,3,3.0,0.9417989417989417
7,3,3.25,0.9365079365079365
7,3,3.5,0.9312169312169312
7,4,1.75,0.873015873015873
7,4,2.0,0.873015873015873
7,4,2.25,0.8835978835978836
7,4,2.5,0.8994708994708994
7,4,2.75,0.8941798941798942
7,4,3.0,0.9047619047619048
7,4,3.25,0.9206349206349206
7,4,3.5,0.9153439153439153
7,5,1.75,0.8306878306878307
7,5,2.0,0.8677248677248677
7,5,2.25,0.873015873015873
7,5,2.5,0.8888888888888888
7,5,2.75,0.9047619047619048
7,5,3.0,0.9047619047619048
7,5,3.25,0.91005291005291
7,5,3.5,0.9047619047619048
10,2,1.75,0.8571428571428571
10,2,2.0,0.8571428571428571
10,2,2.25,0.8518518518518519
10,2,2.5,0.8518518518518519
10,2,2.75,0.8412698412698413
10,2,3.0,0.8359788359788359
10,2,3.25,0.8359788359788359
10,2,3.5,0.8253968253968254
10,3,1.75,0.91005291005291
10,3,2.0,0.9206349206349206
10,3,2.25,0.9206349206349206
10,3,2.5,0.9259259259259259
10,3,2.75,0.9206349206349206
10,3,3.0,0.91005291005291
10,3,3.25,0.91005291005291
10,3,3.5,0.8994708994708994
10,4,1.75,0.8465608465608465
10,4,2.0,0.8677248677248677
10,4,2.25,0.8888888888888888
10,4,2.5,0.9153439153439153
10,4,2.75,0.9259259259259259
10,4,3.0,0.9259259259259259
10,4,3.25,0.9153439153439153
10,4,3.5,0.9206349206349206
10,5,1.75,0.8095238095238095
10,5,2.0,0.8465608465608465
10,5,2.25,0.8835978835978836
10,5,2.5,0.8888888888888888
10,5,2.75,0.8994708994708994
10,5,3.0,0.9047619047619048
10,5,3.25,0.9047619047619048
10,5,3.5,0.9047619047619048
