number,value,datetime_start,datetime_complete,duration,params_color_p,params_disk_size,params_length_max,params_length_min,params_min_threshold,params_pp_circle,params_pp_square,params_radius_max,params_radius_min,state
0,0.5694879832810867,2026-05-01 10:29:41.029724,2026-05-01 10:29:46.671580,0 days 00:00:05.641856,0.5158694086181403,5,95.82184712174698,11.533076444882814,58.31911079753732,0.7405109797544873,0.4645463294811133,97.00129281585346,0.6319469586475326,COMPLETE
1,0.46290491118077326,2026-05-01 10:29:41.031701,2026-05-01 10:29:46.427560,0 days 00:00:05.395859,0.5436030011219289,2,89.28141677547359,5.9522265950211315,72.44843412948839,0.9066388651998012,0.6019289908868606,91.96487585005684,1.6979801122527807,COMPLETE
2,0.7784743991640544,2026-05-01 10:29:41.032991,2026-05-01 10:29:46.620483,0 days 00:00:05.587492,0.48124247230475825,3,107.0929321658031,8.635362344789975,71.74799079841442,0.8198969236951724,0.5591695227921926,90.07742692507583,3.6173168015430335,COMPLETE
3,0.6300940438871473,2026-05-01 10:29:41.032991,2026-05-01 10:29:46.177804,0 days 00:00:05.144813,0.5508288215011314,1,115.97891611287054,3.43309558326416,65.55940805395076,0.7136852390589352,0.4334489682728879,88.71902141864896,3.6614453067270176,COMPLETE
4,0.7711598746081505,2026-05-01 10:29:41.035457,2026-05-01 10:29:46.566223,0 days 00:00:05.530766,0.4913029219362642,3,103.56461894913441,12.08973003572065,62.88105390334867,0.7616147568604906,0.49933972817368466,101.09805710880102,2.3591219488701958,COMPLETE
5,0.5287356321839081,2026-05-01 10:29:41.037514,2026-05-01 10:29:46.600220,0 days 00:00:05.562706,0.5702660548738026,4,89.86153679863216,6.583950988182528,61.8592179919317,0.8939471746223508,0.5575872192572668,84.55589160815202,3.699764271263242,COMPLETE
6,0.8202716823406478,2026-05-01 10:29:41.038704,2026-05-01 10:29:46.597539,0 days 00:00:05.558835,0.5301981926059891,2,103.02023240183202,7.015836439293288,58.63977510041225,0.808547219932522,0.5020614668719572,81.90486713760954,1.4038054681577314,COMPLETE
7,0.6363636363636364,2026-05-01 10:29:41.040154,2026-05-01 10:29:46.472885,0 days 00:00:05.432731,0.5034759456254987,1,117.15687259241008,13.168877759754942,73.26510094435996,0.7171375467575635,0.6034416506921301,95.24780106661368,1.6185950364396402,COMPLETE
8,0.6886102403343782,2026-05-01 10:29:41.042677,2026-05-01 10:29:46.099630,0 days 00:00:05.056953,0.5563745413580203,0,100.26420644329808,7.730249065320725,69.01405423920394,0.7296139273714338,0.4318904937050808,82.79253466961731,3.6082630026300135,COMPLETE
9,0.709508881922675,2026-05-01 10:29:41.048645,2026-05-01 10:29:45.842768,0 days 00:00:04.794123,0.48908780059322116,0,89.78328248190456,6.265340431128001,64.00266958280127,0.8458088537589292,0.4209109455297982,91.6334807682639,2.354324076230732,COMPLETE
