label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Green_Circle,152,142,72,65,1.jpg,250,251
Red_Circle,34,31,65,66,10.jpg,250,251
Unidentified_Object,39,98,142,102,10.jpg,250,251
Green_Circle,23,77,65,64,100.jpg,250,251
Blue_Square,86,77,81,78,100.jpg,250,251
Red_Circle,166,85,64,67,100.jpg,250,251
Red_Square,103,14,86,82,101.jpg,250,251
Green_Square,150,96,83,82,101.jpg,250,251
Red_Circle,97,167,66,64,101.jpg,250,251
Blue_Square,23,91,78,80,101.jpg,250,251
Blue_Circle,91,41,65,67,102.jpg,250,251
Red_Circle,151,144,68,64,102.jpg,250,251
Green_Circle,18,85,62,64,102.jpg,250,251
Blue_Square,94,36,93,93,103.jpg,250,251
Red_Circle,151,142,68,65,103.jpg,250,251
Blue_Circle,67,127,64,65,103.jpg,250,251
Blue_Square,36,33,74,76,104.jpg,250,251
Red_Square,142,41,86,89,104.jpg,250,251
Red_Circle,126,153,69,66,104.jpg,250,251
Green_Circle,45,139,67,63,104.jpg,250,251
Green_Circle,23,48,63,67,105.jpg,250,251
Unidentified_Object,128,111,117,114,105.jpg,250,251
Red_Square,132,30,83,83,106.jpg,250,251
Blue_Square,42,116,83,88,106.jpg,250,251
Unidentified_Object,15,47,74,135,107.jpg,250,251
Unidentified_Object,120,34,123,113,107.jpg,250,251
Unidentified_Object,14,47,74,137,108.jpg,250,251
Unidentified_Object,106,119,139,91,108.jpg,250,251
Blue_Square,116,37,79,78,108.jpg,250,251
Blue_Square,62,139,80,77,109.jpg,250,251
Unidentified_Object,158,29,88,139,109.jpg,250,251
Red_Square,44,37,80,78,109.jpg,250,251
Red_Circle,28,152,66,64,11.jpg,250,251
Blue_Circle,24,47,66,65,110.jpg,250,251
Red_Square,137,34,77,77,110.jpg,250,251
Blue_Square,98,145,83,77,110.jpg,250,251
Blue_Square,162,135,79,79,111.jpg,250,251
Green_Circle,142,30,63,63,111.jpg,250,251
Unidentified_Object,22,118,121,95,111.jpg,250,251
Red_Square,32,25,78,78,111.jpg,250,251
Red_Square,101,22,82,81,112.jpg,250,251
Red_Circle,31,129,63,65,112.jpg,250,251
Blue_Circle,125,136,65,64,112.jpg,250,251
Blue_Square,108,116,102,99,113.jpg,250,251
Green_Circle,122,43,66,65,113.jpg,250,251
Blue_Circle,27,141,63,64,113.jpg,250,251
Red_Square,34,18,79,79,113.jpg,250,251
Green_Square,136,124,85,84,114.jpg,250,251
Green_Circle,139,21,70,65,114.jpg,250,251
Blue_Square,30,73,84,86,114.jpg,250,251
Red_Circle,35,151,64,64,115.jpg,250,251
Blue_Circle,165,140,67,65,115.jpg,250,251
Red_Square,89,34,89,86,115.jpg,250,251
Red_Square,32,21,95,94,116.jpg,250,251
Unidentified_Object,155,66,82,149,116.jpg,250,251
Blue_Circle,49,149,66,63,116.jpg,250,251
Unidentified_Object,119,95,114,119,117.jpg,250,251
Red_Square,19,19,77,79,117.jpg,250,251
Blue_Circle,16,132,65,65,117.jpg,250,251
Green_Circle,141,31,66,62,118.jpg,250,251
Blue_Circle,116,141,68,65,118.jpg,250,251
Blue_Square,16,26,79,78,118.jpg,250,251
Red_Square,30,130,80,79,118.jpg,250,251
Blue_Circle,18,116,63,62,119.jpg,250,251
Blue_Square,102,138,80,81,119.jpg,250,251
Red_Circle,84,42,68,65,119.jpg,250,251
Red_Circle,132,165,69,65,12.jpg,250,251
Green_Circle,167,27,67,64,120.jpg,250,251
Blue_Circle,161,185,68,62,121.jpg,296,293
Blue_Circle,71,159,65,66,122.jpg,296,293
Blue_Circle,70,53,61,60,123.jpg,296,293
Blue_Square,173,52,92,87,123.jpg,296,293
Blue_Circle,210,74,62,63,124.jpg,296,293
Blue_Square,168,167,87,85,125.jpg,296,293
Blue_Square,36,140,91,91,126.jpg,296,293
Unidentified_Object,153,61,122,100,126.jpg,296,293
Blue_Square,67,22,90,85,127.jpg,296,293
Red_Square,168,161,88,87,128.jpg,296,293
Red_Square,183,47,88,89,129.jpg,296,293
Red_Square,119,28,79,75,13.jpg,250,251
Unidentified_Object,15,114,122,93,13.jpg,250,251
Red_Square,80,27,90,87,130.jpg,296,293
Unidentified_Object,132,110,109,113,130.jpg,296,293
Red_Circle,184,80,65,64,131.jpg,296,293
Unidentified_Object,119,117,149,98,132.jpg,296,293
Red_Circle,78,45,65,63,132.jpg,296,293
Red_Circle,44,141,67,66,133.jpg,296,293
Red_Circle,171,179,66,66,134.jpg,296,293
Green_Square,183,61,87,91,135.jpg,296,293
Unidentified_Object,168,37,121,116,136.jpg,296,293
Unidentified_Object,123,16,114,116,137.jpg,296,293
Green_Square,37,137,96,98,137.jpg,296,293
Green_Square,154,163,94,94,138.jpg,296,293
Green_Circle,212,65,64,61,139.jpg,296,293
Unidentified_Object,96,27,128,116,14.jpg,250,251
Unidentified_Object,33,146,133,78,14.jpg,250,251
Red_Square,20,33,77,79,14.jpg,250,251
Green_Circle,99,44,64,61,140.jpg,296,293
Green_Circle,63,145,65,65,141.jpg,296,293
Green_Circle,185,172,65,62,142.jpg,296,293
Unidentified_Object,120,115,115,111,143.jpg,296,293
Unidentified_Object,91,14,81,141,143.jpg,296,293
Red_Circle,187,169,63,61,144.jpg,296,293
Unidentified_Object,136,31,126,89,144.jpg,296,293
Unidentified_Object,51,118,126,121,144.jpg,296,293
Red_Square,126,150,98,94,145.jpg,296,293
Blue_Square,104,51,79,80,145.jpg,296,293
Blue_Square,135,179,79,81,146.jpg,296,293
Green_Square,157,61,92,90,146.jpg,296,293
