epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.9659,0.68215,1.84166,1.01722,0.99422,0.94561,0.99221,0.82253,0.68951,1.63254,0.99422,0.00034,0.00034,0.00034
2,13.8366,0.64096,0.82864,0.97443,0.99506,0.98352,0.99468,0.83105,0.66267,1.06378,0.96273,0.00069307,0.00069307,0.00069307
3,19.8835,0.6489,0.75924,0.97196,0.95311,0.97802,0.98554,0.80835,0.6732,1.01726,0.96236,0.00103901,0.00103901,0.00103901
4,24.6522,0.64137,0.73263,0.97882,0.99421,0.94302,0.99028,0.83579,0.66908,1.03709,0.97219,0.00137783,0.00137783,0.00137783
5,29.3882,0.63674,0.66298,0.9704,0.96707,0.95055,0.98732,0.80045,0.67978,0.90439,0.97785,0.00170951,0.00170951,0.00170951
6,35.1035,0.64755,0.63341,0.96769,0.98359,0.98795,0.99419,0.84702,0.60472,0.65458,0.91975,0.001901,0.001901,0.001901
7,40.0915,0.64728,0.60915,0.95269,0.97181,0.98352,0.99204,0.80252,0.76394,0.66642,0.99911,0.0018812,0.0018812,0.0018812
8,46.2531,0.62429,0.57874,0.95475,0.97836,0.99379,0.99446,0.85631,0.60323,0.56249,0.91796,0.0018614,0.0018614,0.0018614
9,50.9178,0.63825,0.56804,0.95124,0.99247,0.98901,0.99462,0.84023,0.65894,0.49825,0.93187,0.0018416,0.0018416,0.0018416
10,55.8103,0.61934,0.57321,0.95526,0.99481,0.99451,0.995,0.84968,0.63431,0.46582,0.92225,0.0018218,0.0018218,0.0018218
11,61.8539,0.60971,0.54358,0.95573,0.99327,0.98352,0.99352,0.85122,0.60586,0.43312,0.90824,0.001802,0.001802,0.001802
12,66.7091,0.60883,0.51378,0.95635,0.99374,0.99451,0.995,0.86493,0.58356,0.54398,0.89916,0.0017822,0.0017822,0.0017822
13,72.7144,0.61644,0.51276,0.95978,0.9266,0.97802,0.98916,0.85284,0.59609,0.55646,0.91377,0.0017624,0.0017624,0.0017624
14,77.6456,0.5903,0.46075,0.94792,0.99449,0.99166,0.99495,0.85304,0.59514,0.38824,0.90252,0.0017426,0.0017426,0.0017426
15,82.3063,0.57531,0.45758,0.93829,0.99236,0.99451,0.99434,0.85806,0.60354,0.38378,0.90575,0.0017228,0.0017228,0.0017228
16,88.2124,0.58542,0.44715,0.94049,0.99259,0.99451,0.99489,0.85327,0.62116,0.36878,0.9109,0.001703,0.001703,0.001703
